county,cases,deaths
Snohomish,1,0
Snohomish,1,0
Snohomish,1,0
Cook,1,0
Snohomish,1,0
Orange,1,0
Cook,1,0
Snohomish,1,0
Maricopa,1,0
Los Angeles,1,0
Orange,1,0
Cook,1,0
Snohomish,1,0
Maricopa,1,0
Los Angeles,1,0
Orange,1,0
Cook,1,0
Snohomish,1,0
Maricopa,1,0
Los Angeles,1,0
Orange,1,0
Cook,1,0
Snohomish,1,0
Maricopa,1,0
Los Angeles,1,0
Orange,1,0
Cook,1,0
Snohomish,1,0
Maricopa,1,0
Los Angeles,1,0
Orange,1,0
Cook,2,0
Snohomish,1,0
Maricopa,1,0
Los Angeles,1,0
Orange,1,0
Santa Clara,1,0
Cook,2,0
Snohomish,1,0
Maricopa,1,0
Los Angeles,1,0
Orange,1,0
Santa Clara,1,0
Cook,2,0
Suffolk,1,0
Snohomish,1,0
Maricopa,1,0
Los Angeles,1,0
Orange,1,0
San Francisco,2,0
Santa Clara,2,0
Cook,2,0
Suffolk,1,0
Snohomish,1,0
Maricopa,1,0
Los Angeles,1,0
Orange,1,0
San Francisco,2,0
Santa Clara,2,0
Cook,2,0
Suffolk,1,0
Snohomish,1,0
Maricopa,1,0
Los Angeles,1,0
Orange,1,0
San Francisco,2,0
Santa Clara,2,0
Cook,2,0
Suffolk,1,0
Snohomish,1,0
Maricopa,1,0
Los Angeles,1,0
Orange,1,0
San Francisco,2,0
Santa Clara,2,0
Cook,2,0
Suffolk,1,0
Snohomish,1,0
Dane,1,0
Maricopa,1,0
Los Angeles,1,0
Orange,1,0
San Francisco,2,0
Santa Clara,2,0
Cook,2,0
Suffolk,1,0
Snohomish,1,0
Dane,1,0
Maricopa,1,0
Los Angeles,1,0
Orange,1,0
San Francisco,2,0
Santa Clara,2,0
Cook,2,0
Suffolk,1,0
Snohomish,1,0
Dane,1,0
Maricopa,1,0
Los Angeles,1,0
Orange,1,0
San Francisco,2,0
Santa Clara,2,0
Cook,2,0
Suffolk,1,0
Snohomish,1,0
Dane,1,0
Maricopa,1,0
Los Angeles,1,0
Orange,1,0
San Francisco,2,0
Santa Clara,2,0
Cook,2,0
Suffolk,1,0
Snohomish,1,0
Dane,1,0
Maricopa,1,0
Los Angeles,1,0
Orange,1,0
San Diego,1,0
